index,score,label
1644,0.8569721062082865,-1
26392,0.8569630237172802,-1
23240,0.8562942042926178,-1
20029,0.8562479842288243,-1
206,0.8560032563602668,-1
27898,0.8559926614892591,-1
21688,0.8553638079288891,-1
21872,0.8553447924789305,-1
18,0.8547856480615001,-1
22336,0.8547509461529057,-1
22752,0.8545617552382967,-1
27827,0.8540600171774011,-1
1219,0.8537065189270442,-1
1506,0.8536384987049842,-1
27188,0.8523636839223802,-1
902,0.8511391497179637,-1
873,0.8506388341883017,-1
21889,0.8505468178654986,-1
26412,0.8500956003818636,-1
27183,0.8498389935591367,-1
5954,0.8497018287050402,-1
1022,0.8493298715043929,-1
22260,0.8492497022503631,-1
5961,0.8492059670228332,-1
21423,0.8489023021496622,-1
17183,0.8485571289726784,-1
27571,0.8484287097046664,-1
25192,0.8477999749070348,-1
23150,0.847442938555413,-1
27161,0.8472998499477373,-1
23125,0.8472632862899127,-1
22299,0.8472588324424577,-1
22930,0.8470532131520703,-1
27561,0.8468728323305375,-1
22893,0.8466813168904204,-1
27663,0.846493512989789,-1
27219,0.8463272360185055,-1
23065,0.8458224666414098,-1
23182,0.8452566056598158,-1
5341,0.8448837776534364,-1
26287,0.8448763545743799,-1
1872,0.8447973411172548,-1
5304,0.8447969276282663,-1
26288,0.8447360583798358,-1
7,0.844468279075147,-1
5264,0.8442387852313431,-1
22314,0.8442109161742319,-1
1191,0.8441287177157136,-1
26338,0.8439231707343818,-1
25283,0.8438672413649535,-1
27207,0.8437775530760384,-1
21547,0.8435911188986915,-1
22392,0.8424246389407909,-1
26491,0.8423689173726029,-1
23036,0.8419639501382293,-1
1744,0.8412352758784533,-1
16737,0.8402821853150674,-1
1214,0.840150491920171,-1
24635,0.8399676149890867,-1
22030,0.8399354791750815,-1
22805,0.8396811877291159,-1
1239,0.8390225545327512,-1
1490,0.8389170349859641,-1
14020,0.8385772439560205,-1
16583,0.8385594285662643,-1
1355,0.8385586862583533,-1
13491,0.8385482939476376,-1
15369,0.838547551639753,-1
15495,0.8385460670239419,-1
1725,0.8385430977922876,-1
1419,0.838537159329032,-1
1499,0.8385334477894987,-1
1402,0.8385334477894987,-1
15523,0.8385275093262378,-1
15473,0.8385275093262378,-1
1718,0.8385275093262378,-1
1661,0.8385208285550659,-1
1339,0.8385119208601824,-1
1673,0.838505240089016,-1
1706,0.8384933631624942,-1
1688,0.8384933631624837,-1
1509,0.8384903939308664,-1
1364,0.8384889093150499,-1
1682,0.8384881670071337,-1
1747,0.8384874246992281,-1
1735,0.8384844554676055,-1
1482,0.838480001620156,-1
1384,0.8384673823857286,-1
22749,0.8384562477671282,-1
21584,0.838243810499974,-1
1675,0.8382143285387954,-1
21484,0.8380683182395987,-1
22750,0.8380494630338291,-1
22318,0.8379650454038123,-1
27698,0.837890164341825,-1
26466,0.8377812427986354,-1
5383,0.8375876196666375,-1
22120,0.836646056288821,-1
71,0.8362749023350812,-1
27307,0.8359490291636602,-1
67,0.8353232635976576,-1
1530,0.8352898597418238,-1
56,0.8351329389132713,-1
23209,0.8350627135221415,-1
332,0.8347503708787471,-1
5244,0.8345469471320596,-1
22703,0.8345438402947964,-1
27689,0.8345327056761698,-1
5745,0.8345102812536068,-1
22197,0.8343345094648597,-1
26358,0.8341942132703576,-1
22972,0.8337814900737713,-1
27660,0.8334912476819097,-1
4361,0.8333882084834068,-1
20930,0.8331847018319836,-1
23199,0.8330711014063092,-1
26737,0.832950786461338,-1
26778,0.8329241244406145,-1
1161,0.8322521662103936,-1
13355,0.8322170830495201,-1
22189,0.8320793780418532,-1
1162,0.8319827084399688,-1
21944,0.8315513099505933,-1
999,0.8315159663400596,-1
21809,0.8301145498953804,-1
22188,0.8300833120785662,-1
498,0.8299761149555872,-1
23332,0.8298159733808098,-1
22591,0.8296112042493816,-1
21863,0.8293499118659662,-1
26385,0.8292097004459966,-1
21448,0.8291604141969173,-1
27083,0.8288163651688747,-1
35,0.8287365563831671,-1
15482,0.8286599160647404,-1
26307,0.8285095865233573,-1
965,0.8279254229914506,-1
26887,0.8278427345071322,-1
22261,0.8278018282028984,-1
27740,0.8276299844442705,-1
22201,0.8275254355124798,-1
25184,0.8272959458858922,-1
25470,0.8267939801469051,-1
2217,0.8267247782219016,-1
21458,0.8265618166792409,-1
27766,0.8265128110434672,-1
1727,0.8262410700164006,-1
57,0.8261146202875981,-1
27651,0.8261075109259793,-1
21697,0.8257312210494839,-1
316,0.8251472414974418,-1
22860,0.8250058428902383,-1
5430,0.8248775675417855,-1
25188,0.824779522079428,-1
27501,0.8246994064471662,-1
27350,0.8244365758261398,-1
27703,0.8240998800455741,-1
28006,0.8240535747731501,-1
20128,0.8240268218612181,-1
23157,0.8232063545294587,-1
22599,0.8227301088676198,-1
1207,0.8226646868509498,-1
1475,0.8224318791717856,-1
2091,0.8223367347509803,-1
21525,0.822306152131617,-1
25996,0.8222294895736688,-1
1170,0.822229322741241,-1
77,0.8221398751603473,-1
28016,0.8220248174346652,-1
3224,0.821854828923864,-1
1031,0.821093221010763,-1
16901,0.8210034732095589,-1
27085,0.8206570580080501,-1
26457,0.8206444387736122,-1
26445,0.8206199426126841,-1
27032,0.8206006426070533,-1
26423,0.8205939618359027,-1
22732,0.8200688360983879,-1
26411,0.8197173693467037,-1
23024,0.8192196358522349,-1
21452,0.8190211672134424,-1
26363,0.8188967319124412,-1
26379,0.8186161910666817,-1
26768,0.8186020356731879,-1
21612,0.8185009475842795,-1
26301,0.8184981125661462,-1
26546,0.8177632277377137,-1
27000,0.8174212973075684,-1
22537,0.8174017237867426,-1
21253,0.8171841457402512,-1
26762,0.8171545352535343,-1
22607,0.8170185328208878,-1
1013,0.8170083672374978,-1
27770,0.8162986542361464,-1
5894,0.8162539951121789,-1
22719,0.8161991849765806,-1
23346,0.816088021340071,-1
333,0.816053132868422,-1
5238,0.8160494213288938,-1
16740,0.8160391649277692,-1
6657,0.816025061077499,-1
137,0.8159839309434291,-1
17072,0.8159823104180424,-1
26620,0.8159564655508362,-1
2184,0.8159485719830041,-1
22180,0.8159460732401363,-1
1873,0.815940877084797,-1
21965,0.8159407097951967,-1
26622,0.8159402706864667,-1
17074,0.8159344995128008,-1
22806,0.8159340290240249,-1
5388,0.815925591817891,-1
19374,0.8159163495438229,-1
13497,0.8159157745255176,-1
1538,0.8159095328630862,-1
3618,0.815902412983174,-1
