length,duration,src_port,dst_port,src_ip,dst_ip,proto_BROWSER,proto_DNS,proto_HTTP,proto_MDNS,proto_QUIC,proto_SSDP,proto_TCP,proto_TLSv1.2,proto_TLSv1.3,proto_UDP,proto_UDP/XML,euclidean_to_mean,cosine_to_mean
54,0.00013299999999993872,59902,443,3232258180,338313560,False,False,False,False,False,False,True,False,False,False,False,5.871268851110529,0.10109952420516667
516,0.006161999999999779,0,0,3232258180,338313560,False,False,False,False,False,False,False,False,True,False,False,6.326542500179088,0.48991406745644545
5814,0.307345999999999,0,0,338313560,3232258180,False,False,False,False,False,False,False,False,True,False,False,7.547989107096435,-0.06908639028768133
658,0.0,0,0,338313560,3232258180,False,False,False,False,False,False,False,False,True,False,False,6.135418308787373,-0.10837643047229796
54,0.0002070000000014005,59902,443,3232258180,338313560,False,False,False,False,False,False,True,False,False,False,False,5.871234983441945,0.10110455732140855
134,0.020356999999998848,0,0,3232258180,338313560,False,False,False,False,False,False,False,False,True,False,False,6.331613080478002,0.48990419632009563
956,0.00026000000000081513,0,0,3232258180,338313560,False,False,False,False,False,False,False,False,True,False,False,6.327912075691808,0.48995018976085375
54,0.5870119999999996,443,59902,338313560,3232258180,False,False,False,False,False,False,True,False,False,False,False,8.925909212340356,-0.2755981336388885
157,0.0,0,0,338313560,3232258180,False,False,False,False,False,False,False,False,True,False,False,6.142520373104437,-0.10880414208751062
54,7.700000000099294e-05,59902,443,3232258180,338313560,False,False,False,False,False,False,True,False,False,False,False,5.871294579294158,0.10109571370134103
1292,0.08785899999999991,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,2.054463072662734,0.8197055818140917
1292,0.00011399999999994748,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,1.8622260493382035,0.8876878324914491
123,0.0002589999999997872,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,1.8723776986294427,0.8786691089587647
55,0.09766899999999978,61862,443,3232258180,2539988315,False,False,False,False,False,False,True,False,False,False,False,5.186246044350258,-0.33304952381125874
1274,0.06430999999999898,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.6449752197277367,-0.17685952920416725
967,0.0,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5320013335887999,-0.2060811007634886
122,0.0,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5619567131524976,-0.2057969089934696
1292,0.0016270000000009333,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,1.8601323176966922,0.8889741728190081
1183,0.0014649999999996055,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,1.854011015784333,0.8914797846659184
1210,0.0003329999999994726,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,1.8570103078281297,0.8899233006321586
90,0.019504000000001298,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.550649744331716,-0.20299665264958633
81,0.039503999999999095,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5769623829693142,-0.1951704678495436
154,0.0,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5588737274595572,-0.2060647303961428
314,0.0,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5457026419985787,-0.2071187819590206
77,0.00048500000000117893,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,1.8759665152777338,0.8768644480363273
90,0.04714799999999997,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5962038851941756,-0.19108878185196287
90,0.0,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5651873259074571,-0.20551075733998214
90,0.01309899999999864,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5511380647270305,-0.20439062011750056
66,0.0032580000000006493,443,61862,2539988315,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.592429045580045,-0.4663639895192899
77,0.012544999999999362,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,1.8651564369420577,0.8842294621774861
55,0.11098000000000141,52347,443,3232258180,2454407515,False,False,False,False,False,False,True,False,False,False,False,4.78421193702672,-0.31152771219393266
72,0.02584799999999987,0,0,3232258180,3300925445,False,True,False,False,False,False,False,False,False,False,False,8.681388572851796,-0.13036956210045242
72,0.00029299999999921056,0,0,3232258180,3300925445,False,True,False,False,False,False,False,False,False,False,False,8.68325100448748,-0.13138066959695213
254,0.0036799999999992394,0,0,3300925445,3232258180,False,True,False,False,False,False,False,False,False,False,False,8.681527341795933,-0.12084152382374491
273,0.0,0,0,3300925445,3232258180,False,True,False,False,False,False,False,False,False,False,False,8.68228911820502,-0.12096572945875797
1292,0.007357999999999976,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.287908020562125,0.9280899109981896
1292,0.0001600000000010482,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.2925362459131393,0.9260134719019751
1274,0.022645999999999944,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5346581640108128,-0.19915804944736132
1274,0.0,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5480434810579287,-0.202600881038083
186,0.0,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.555939246367234,-0.2063139199954461
90,0.0,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5651873259074571,-0.20551075733998214
80,0.0005209999999991055,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,1.8756531751303984,0.8770285551000028
76,0.00019800000000103068,0,0,3232258180,1719953429,False,False,False,False,True,False,False,False,False,False,False,1.8764612049044442,0.876575667813244
83,0.010877999999999943,0,0,3232258180,1719953421,False,False,False,False,False,False,False,True,False,False,False,5.5351452554398675,0.12175429158770758
86,0.0002840000000006171,0,0,3232258180,1719953429,False,False,False,False,False,False,False,True,False,False,False,5.538549693977944,0.121007794075822
86,0.0001889999999988845,0,0,3232258180,1719953429,False,False,False,False,False,False,False,True,False,False,False,5.538595602691297,0.12100073520672205
83,0.00015300000000095793,0,0,3232258180,1719953421,False,False,False,False,False,False,False,True,False,False,False,5.538701306265336,0.12099246018786568
83,0.00010599999999882925,0,0,3232258180,1719953421,False,False,False,False,False,False,False,True,False,False,False,5.538724163012935,0.12098896490319974
82,0.012061000000000988,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.9188716239471044,-0.21913466491045744
230,0.02753300000000003,0,0,3232258180,1719953429,False,False,False,False,False,False,False,True,False,False,False,5.532303098600756,0.12305989421875592
1292,0.02570300000000003,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.2874517290559355,0.930188924524304
55,0.03139499999999984,49777,443,3232258180,64931134,False,False,False,False,False,False,True,False,False,False,False,5.676068345103202,0.18398154573527575
1292,0.023704999999999643,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.910536153628506,-0.21553099456550714
1292,0.0,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.917261662010183,-0.21790300804879845
294,0.0,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.9160514196208265,-0.22031395376890126
54,0.0,443,56650,1719953421,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.509722025136954,-0.512080014543518
54,0.0,443,62238,1719953421,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.724458091940287,-0.4964302745454495
54,0.0,443,55802,1719953429,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.478257507305336,-0.5144571316790824
54,0.0,443,56570,1719953421,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.506740438200842,-0.5123043575690929
54,0.0,443,62933,1719953429,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.75201192665334,-0.494494686906314
90,0.0,0,0,1719953429,3232258180,False,False,False,False,True,False,False,False,False,False,False,1.5651873259074571,-0.20551075733998214
54,0.0,443,55802,1719953429,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.478257507305336,-0.5144571316790824
66,0.0,443,52347,2454407515,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.2298899094714955,-0.4970389329633611
165,0.0008529999999993265,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.2959560031059403,0.9228084981870331
114,6.800000000062312e-05,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.2989044212680425,0.9217948968924295
1292,0.002029999999999532,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.9154849148941087,-0.21778997102775938
210,0.00021800000000027353,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.2945684153937,0.9232217226125008
82,0.04830199999999962,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.9447325437288505,-0.21286504585597318
84,0.0,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.9259980917007984,-0.22005163971420363
345,0.006801000000001167,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.9090923295747397,-0.21989671502732905
106,0.0,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.924791548099833,-0.22009141539945462
63,0.0,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.927185563613861,-0.22001101396087552
112,0.0,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.9244691520101824,-0.22010176766828676
73,0.00028899999999865145,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.300722347843388,0.92122662114708
73,8.400000000108321e-05,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.3008890700000904,0.921158164850676
79,0.04938100000000034,0,0,1719953421,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.452688806181805,-0.2345730001960606
79,0.0,0,0,1719953421,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.441650125151154,-0.23825275554268852
69,0.0,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.9268427232117933,-0.22002288577871276
82,0.0,0,0,1719953429,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.441559795064947,-0.23825297213145719
82,0.0,0,0,1719953429,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.441559795064947,-0.23825297213145719
79,0.0015969999999985163,0,0,1719953421,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.440890841682372,-0.2381823738773249
84,0.034140000000000725,0,0,1719953429,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.441525758823386,-0.23603686667481136
54,8.900000000089392e-05,55802,443,3232258180,1719953429,False,False,False,False,False,False,True,False,False,False,False,4.96776328402559,-0.16206078947042557
54,0.010159999999999059,56570,443,3232258180,1719953421,False,False,False,False,False,False,True,False,False,False,False,4.999359859659989,-0.16261378899435924
54,0.0,56650,443,3232258180,1719953421,False,False,False,False,False,False,True,False,False,False,False,5.006935267149179,-0.16332220787144694
54,1.8999999999991246e-05,62238,443,3232258180,1719953421,False,False,False,False,False,False,True,False,False,False,False,5.272588669717308,-0.17088030007232022
54,3.200000000092018e-05,62933,443,3232258180,1719953429,False,False,False,False,False,False,True,False,False,False,False,5.3065163211099105,-0.1717379770358942
